#thise are the data exported without any corrections
token	lemma	pos	morph	Dis	treated
sed	sed	CONcoo	MORPH=empty	_	sed
mei	ego	PROper	Case=Gen|Numb=Sing|Gend=Masc	_	mei
misertus	misereor	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	misertus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	2	est
.	.	PUNC	MORPH=empty	_	--IGN.--
nam	nam	CONcoo	MORPH=empty	_	nam
ignorans	ignoro	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	_	ignorans
id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut	_	id
faciebam	facio	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1	_	faciebam
fidei	fides2	NOMcom	Case=Gen|Numb=Sing	2	fidei
expers	expers	ADJqua	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos	_	expers
.	.	PUNC	MORPH=empty	_	--IGN.--
Comparatio	comparatio2	NOMcom	Case=Nom|Numb=Sing	2	Comparatio
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
ex	ex	PRE	MORPH=empty	_	ex
qua	qui1	PROrel	Case=Abl|Numb=Sing|Gend=Fem	1	qua
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
gratia	gratia	NOMcom	Case=Abl|Numb=Sing	_	gratia
maximè	magis2	ADV	Deg=Sup	2	maxime
amplificatur	amplifico	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	amplificatur
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
maximè	magis2	ADV	Deg=Sup	2	maxime
quod	quod2	CONsub	Numb=Sing	2	quod
aduersarij	aduersarius1	NOMcom	Case=Nom|Numb=Plur	1	aduersarii
in	in	PRE	MORPH=empty	_	in
calumniæ	calumnia	NOMcom	Case=Gen|Numb=Sing	_	calumniae
causam	causa	NOMcom	Case=Acc|Numb=Sing	_	causam
arripiebant	arripio	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3	_	arripiebant
,	,	PUNC	MORPH=empty	_	--IGN.--
transfert	transfero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	transfert
in	in	PRE	MORPH=empty	_	in
suum	suus	PROpos.ref	Case=Acc|Numb=Sing|Gend=MascNeut	_	suum
cõmodum	comodus	NOMcom	Case=Acc	1	comodum
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
sui	sui2	PROpos.ref	Case=Gen|Numb=Sing|Gend=MascNeut	_	sui
ministerij	ministerium	NOMcom	Case=Gen|Numb=Sing	_	ministerii
maiorem	magnus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp	_	maiorem
commẽdationem	commedatio	NOMcom	Case=Acc|Numb=Sing	_	commedationem
.	.	PUNC	MORPH=empty	_	--IGN.--
Accusabant	accuso	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3	_	Accusabant
igitur	igitur	CONcoo	MORPH=empty	_	igitur
quod	quod2	PROrel	Numb=Sing|Gend=Neut	2	quod
fuisset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3	1	fuisset
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing	_	Paulus
antea	antea	ADV	Deg=Pos	_	antea
(	(	PUNC	MORPH=empty	_	--IGN.--
Blasphemus	Blasphomus	NOMpro	Case=Nom|Numb=Sing	_	Blasphemus
Insectator	insectator	NOMcom	Case=Nom|Numb=Sing|Mood=Imp|Tense=Fut|Voice=Dep	_	Insectator
(	(	PUNC	MORPH=empty	_	--IGN.--
Violentus	uiolentus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos	_	Uiolentus
Quæ	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Neut	1	Quae
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	omnia
concedit	concedo1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	concedit
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc	_	ille
,	,	PUNC	MORPH=empty	_	--IGN.--
quia	quia	CONsub	MORPH=empty	_	quia
et	et2	CONcoo	MORPH=empty	2	et
vera	uerus	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos	_	uera
erant	sum1	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3	1	erant
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
sic	sic	ADV	Deg=Pos	_	sic
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
gloria	gloria	NOMcom	Case=Nom|Numb=Sing	_	gloria
maior	magnus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	maior
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
sua	suus	PROpos.ref	Case=Nom|Numb=Sing|Gend=Fem	_	sua
vocatio	uocatio	NOMcom	Case=Nom|Numb=Sing	_	uocatio
ad	ad2	PRE	MORPH=empty	2	ad
Apostolatum	apostolatus	NOMcom	Case=Acc|Numb=Sing	_	Apostolatum
illustrior	illustris	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	illustrior
apparet	appareo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	apparet
.	.	PUNC	MORPH=empty	_	--IGN.--
Cùm	cum3	CONsub	MORPH=empty	3	Cum
enim	enim2	CONcoo	MORPH=empty	2	enim
talis	talis	PROdem	Case=Nom|Numb=Sing|Gend=MascFem	_	talis
fucrit	fucrio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	_	fucrit
,	,	PUNC	MORPH=empty	_	--IGN.--
mirum	mirus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	mirum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
vocatum	uoco	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	_	uocatum
tamen	tamen	ADV	Deg=Pos	_	tamen
à	ab	PRE	MORPH=empty	_	a
Deo	deus	NOMcom	Case=Abl|Numb=Sing	_	Deo
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
Actor	actor	NOMcom	Case=Nom|Numb=Sing	_	Actor
.	.	PUNC	MORPH=empty	_	--IGN.--
9	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
13	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
Nõ	no	ADVneg	Numb=Sing	_	No
loquitur	loquor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	_	loquitur
de	de	PRE	MORPH=empty	_	de
se	sui1	PROref	Case=Abl|Numb=Sing	1	se
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing	_	Paulus
vt	ut4	CONsub	MORPH=empty	1	ut
hypocritæ	hypocrites	NOMcom	Case=Gen|Numb=Plur	_	hypocritae
,	,	PUNC	MORPH=empty	_	--IGN.--
sua	suus	PROpos.ref	Case=Acc|Numb=Plur|Gend=Neut	_	sua
peccata	peccatum	NOMcom	Case=Acc|Numb=Plur	_	peccata
minuens	minuo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	_	minuens
,	,	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
ea	is	PROdem	Case=Acc|Numb=Plur|Gend=Neut	_	ea
exaggerat	exaggero1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	exaggerat
.	.	PUNC	MORPH=empty	_	--IGN.--
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
enim	enim2	CONcoo	MORPH=empty	2	enim
hæc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Fem	1	haec
gradatio	gradatio	NOMcom	Case=Nom|Numb=Sing	_	gradatio
:	:	PUNC	MORPH=empty	_	--IGN.--
Fui	sum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	1	Fui
blasphemus	blasphemo	VER	Numb=Sing|Person=1	_	blasphemus
.	.	PUNC	MORPH=empty	_	--IGN.--
i	eo1	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	1	i
.	.	PUNC	MORPH=empty	_	--IGN.--
maledicere	maledico2	VER	Mood=Inf|Tense=Pres|Voice=Act	2	maledicere
solitus	soleo	VER	Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=SemDep	_	solitus
Deo	deus	NOMcom	Case=Dat|Numb=Sing	_	Deo
.	.	PUNC	MORPH=empty	_	--IGN.--
Deinde	deinde	ADV	Deg=Pos	_	Deinde
persequutor	persequutor	VER	Numb=Sing|Mood=Imp|Tense=Fut|Voice=Dep	_	persequutor
.	.	PUNC	MORPH=empty	_	--IGN.--
Denique	denique	ADV	Deg=Pos	_	Denique
rabiosus	rabiosus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos	_	rabiosus
et	et2	CONcoo	MORPH=empty	2	et
contumelias	contumelia	NOMcom	Case=Acc|Numb=Plur	_	contumelias
omnes	omnis	PROind	Case=Acc|Numb=Plur|Gend=MascFem	_	omnes
coniungens	coniungo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	_	coniungens
.	.	PUNC	MORPH=empty	_	--IGN.--
Mirum	mirus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos	_	Mirum
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
opus	opus1	NOMcom	Case=Ind|Numb=Sing	1	opus
in	in	PRE	MORPH=empty	_	in
Paulo	Paulus	NOMpro	Case=Abl|Numb=Sing	_	Paulo
vocando	uoco	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	_	uocando
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
de	de	PRE	MORPH=empty	_	de
multis	multus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos	_	multis
persecutoribus	persecutor	NOMcom	Case=Abl|Numb=Plur	_	persecutoribus
verbi	uerbum	NOMcom	Case=Gen|Numb=Sing	_	uerbi
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
non	non	ADVneg	MORPH=empty	_	non
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	sit
hodie	hodie	ADV	Deg=Pos	_	hodie
desperandum	despero	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	_	desperandum
.	.	PUNC	MORPH=empty	_	--IGN.--
Opponit	oppono	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	Opponit
autem	autem	CONcoo	MORPH=empty	_	autem
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
mifericordiam	mifericordia	NOMcom	Case=Acc|Numb=Sing	_	mifericordiam
,	,	PUNC	MORPH=empty	_	--IGN.--
per	per	PRE	MORPH=empty	_	per
quam	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem	1	quam
non	non	ADVneg	MORPH=empty	_	non
tantùm	tantum2	ADV	Deg=Pos	2	tantum
veniam	uenia	NOMcom	Case=Acc|Numb=Sing	_	ueniam
superiorum	superus	ADJqua	Case=Gen|Numb=Plur|Gend=Com|Deg=Comp	_	superiorum
vitiorum	uitium	NOMcom	Case=Gen|Numb=Plur	_	uitiorum
consequurus	consequor	VER	Case=Nom|Numb=Sing	_	consequurus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
etiam	etiam	ADV	Deg=Pos	_	etiam
pulcherrimam	pulcher	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Sup	_	pulcherrimam
illam	ille	PROdem	Case=Acc|Numb=Sing|Gend=Fem	_	illam
ad	ad2	PRE	MORPH=empty	2	ad
Apostolatum	apostolatus	NOMcom	Case=Acc|Numb=Sing	_	Apostolatum
vocationẽ	uocatio	NOMcom	Case=Abl|Numb=Sing	_	uocatione
adeptus	adipiscor	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep	_	adeptus
,	,	PUNC	MORPH=empty	_	--IGN.--
omnibus	omnis	PROind	Case=Abl|Numb=Plur|Gend=Com	_	omnibus
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com	_	suis
sceleribus	scelus	NOMcom	Case=Abl|Numb=Plur	_	sceleribus
ne	ne4	CONsub	MORPH=empty	4	ne
futuris	futurus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos	_	futuris
operibus	opus1	NOMcom	Case=Abl|Numb=Plur	1	operibus
vel	uel2	CONcoo	MORPH=empty	2	uel
quæ	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Neut	1	quae
Deus	deus	NOMcom	Case=Nom|Numb=Sing	_	Deus
post	post2	PRE	MORPH=empty	2	post
Pauli	Paulus	NOMpro	Case=Gen|Numb=Sing	_	Pauli
vocationem	uocatio	NOMcom	Case=Acc|Numb=Sing	_	uocationem
edenda	edo1	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	1	edenda
ab	ab	PRE	MORPH=empty	_	ab
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	eo
præuiderat	praeuideo	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3	_	praeuiderat
,	,	PUNC	MORPH=empty	_	--IGN.--
electionis	electio	NOMcom	Case=Gen|Numb=Sing	_	electionis
huius	hic1	PROdem	Case=Gen|Numb=Sing|Gend=Com	1	huius
causam	causa	NOMcom	Case=Acc|Numb=Sing	_	causam
tribuamus	tribuo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	_	tribuamus
.	.	PUNC	MORPH=empty	_	--IGN.--
Addit	addo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	Addit
tamen	tamen	ADV	Deg=Pos	_	tamen
rationem	ratio	NOMcom	Case=Acc|Numb=Sing	_	rationem
,	,	PUNC	MORPH=empty	_	--IGN.--
quia	quia	CONsub	MORPH=empty	_	quia
feci	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	_	feci
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
ignorãs	ignoro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	_	ignoras
et	et2	CONcoo	MORPH=empty	2	et
ἐν	_	_	_	_	--IGN.--
ἀπιςτίᾳ	_	_	_	_	--IGN.--
.	.	PUNC	MORPH=empty	_	--IGN.--
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut	_	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
carens	careo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	_	carens
fide	fides2	NOMcom	Case=Abl|Numb=Sing	2	fide
et	et2	CONcoo	MORPH=empty	2	et
cognitione	cognitio	NOMcom	Case=Abl|Numb=Sing	_	cognitione
.	.	PUNC	MORPH=empty	_	--IGN.--
Non	non	ADVneg	MORPH=empty	_	Non
tantùm	tantum2	ADV	Deg=Pos	2	tantum
igitur	igitur	CONcoo	MORPH=empty	_	igitur
docet	doceo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	docet
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
ignarum	ignarus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos	_	ignarum
fuisse	sum1	VER	Mood=Inf|Tense=Perf|Voice=Act	1	fuisse
prius	prius	ADJadv.ord	Deg=Comp	_	prius
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
se	sui1	PROref	Case=Acc|Numb=Sing	1	se
de	de	PRE	MORPH=empty	_	de
fide	fides2	NOMcom	Case=Abl|Numb=Sing	2	fide
et	et2	CONcoo	MORPH=empty	2	et
verbo	uerbum	NOMcom	Case=Abl|Numb=Sing	_	uerbo
Euangelij	Euangelium	NOMpro	Case=Gen|Numb=Sing	_	Euangelii
quicquam	quisquam	PROind	Case=Acc|Numb=Sing|Gend=Neut	_	quicquam
antea	antea	ADV	Deg=Pos	_	antea
audiisse	audio	VER	Mood=Inf|Tense=Perf|Voice=Act	_	audiisse
vel	uel2	CONcoo	Deg=Pos	2	uel
fuisse	sum1	VER	Mood=Inf|Tense=Perf|Voice=Act	1	fuisse
edoctũ	edoctus	NOMcom	Case=Abl|Numb=Sing	_	edoctu
negat	nego	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	negat
.	.	PUNC	MORPH=empty	_	--IGN.--
Hîc	hic1	PROdem	Numb=Sing	1	Hic
igitur	igitur	CONcoo	MORPH=empty	_	igitur
ἀπιςτία	_	_	_	_	--IGN.--
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
species	species	NOMcom	Case=Nom|Numb=Sing	_	species
ignorantiæ	ignorantia	NOMcom	Case=Gen|Numb=Sing	_	ignorantiae
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
maximè	magis2	ADV	Deg=Sup	2	maxime
excusabilis	excusabilis	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos	_	excusabilis
,	,	PUNC	MORPH=empty	_	--IGN.--
quum	cum3	ADVrel	Case=Acc|Numb=Sing	3	quum
quis	quis2	PROind	Case=Nom|Numb=Sing|Gend=MascFem	2	quis
non	non	ADVneg	MORPH=empty	_	non
ignorat	ignoro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	ignorat
ea	is	PROdem	Case=Acc|Numb=Plur|Gend=Neut	_	ea
,	,	PUNC	MORPH=empty	_	--IGN.--
de	de	PRE	MORPH=empty	_	de
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com	1	quibus
oblata	offero	VER	Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	_	oblata
illi	ille	PROdem	Case=Dat|Numb=Sing|Gend=Com	_	illi
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
cognitio	cognitio	NOMcom	Case=Nom|Numb=Sing	_	cognitio
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
de	de	PRE	MORPH=empty	_	de
quibus	qui1	PROrel	Case=Abl|Numb=Plur|Gend=Com	1	quibus
nunquam	numquam	ADVneg	MORPH=empty	_	nunquam
audiuit	audio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	audiuit
.	.	PUNC	MORPH=empty	_	--IGN.--
Ergo	ergo2	CONcoo	MORPH=empty	2	Ergo
ἀπιςτία	_	_	_	_	--IGN.--
non	non	ADVneg	MORPH=empty	_	non
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	1	hoc
loco	locus	NOMcom	Case=Abl|Numb=Sing	_	loco
infidelitas	infidelitas	NOMcom	Case=Nom|Numb=Sing	_	infidelitas
et	et2	CONcoo	MORPH=empty	2	et
incredulitas	incredulitas	NOMcom	Case=Nom|Numb=Sing	_	incredulitas
cum	cum2	PRE	MORPH=empty	3	cum
quadam	quidam	PROind	Case=Abl|Numb=Sing|Gend=Fem	_	quadam
malitia	malitia	NOMcom	Case=Abl|Numb=Sing	_	malitia
et	et2	CONcoo	MORPH=empty	2	et
animi	animus	NOMcom	Case=Gen|Numb=Sing	_	animi
obstinatione	obstinatio	NOMcom	Case=Abl|Numb=Sing	_	obstinatione
coniuncta	coniunctus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos	_	coniuncta
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
simplex	simplex	ADJmul	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos	_	simplex
et	et2	CONcoo	MORPH=empty	2	et
præcedenti	praecedo1	VER	Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	1	praecedenti
verbi	uerbum	NOMcom	Case=Gen|Numb=Sing	_	uerbi
Domini	dominus	NOMcom	Case=Gen|Numb=Sing	_	Domini
prædicatione	praedicatio	NOMcom	Case=Abl|Numb=Sing	_	praedicatione
carens	careo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	_	carens
.	.	PUNC	MORPH=empty	_	--IGN.--
Vnde	unde2	ADVint	MORPH=empty	1	Unde
quæsitum	quaero	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass	_	quaesitum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	2	est
vtrum	utrum	ADVint	MORPH=empty	_	utrum
ignorantia	ignorantia	NOMcom	Case=Nom|Numb=Sing	_	ignorantia
excuset	excuso	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	_	excuset
peccatores	peccator	NOMcom	Case=Acc|Numb=Plur	_	peccatores
à	ab	PRE	MORPH=empty	_	a
peccato	peccatum	NOMcom	Case=Abl|Numb=Sing	_	peccato
.	.	PUNC	MORPH=empty	_	--IGN.--
Quidam	quidam	PROind	Case=Nom|Numb=Plur|Gend=Masc	_	Quidam
distingunt	distinguo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	distingunt
inter	inter	PRE	MORPH=empty	_	inter
ignorantiam	ignorantia	NOMcom	Case=Acc|Numb=Sing	_	ignorantiam
Simplicem	simplex	ADJmul	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos	_	Simplicem
et	et2	CONcoo	MORPH=empty	2	et
Malitiosam	malitiosus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos	_	Malitiosam
.	.	PUNC	MORPH=empty	_	--IGN.--
Alij	alius	PROind	Case=Nom|Numb=Plur|Gend=Masc	_	Alii
inter	inter	PRE	MORPH=empty	_	inter
ea	is	PROdem	Case=Acc|Numb=Plur|Gend=Neut	_	ea
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut	1	quae
ignorantur	ignoro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	ignorantur
.	.	PUNC	MORPH=empty	_	--IGN.--
Aut	aut	CONcoo	MORPH=empty	_	Aut
enim	enim2	CONcoo	MORPH=empty	2	enim
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
vt	ut1	ADVrel	MORPH=empty	1	ut
illi	ille	PROdem	Case=Nom|Numb=Plur|Gend=Masc	_	illi
aiunt	aio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	aiunt
,	,	PUNC	MORPH=empty	_	--IGN.--
præcepta	praeceptum	NOMcom	Case=Acc|Numb=Plur	_	praecepta
pertinentia	pertineo	VER	Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Pres|Voice=Act	_	pertinentia
ad	ad2	PRE	MORPH=empty	2	ad
Primam	primus	ADJord	Case=Acc|Numb=Sing|Gend=Fem|Deg=Sup	_	Primam
Legis	lex	NOMcom	Case=Gen|Numb=Sing	_	Legis
tabulam	tabula	NOMcom	Case=Acc|Numb=Sing	_	tabulam
,	,	PUNC	MORPH=empty	_	--IGN.--
aut	aut	CONcoo	MORPH=empty	_	aut
ad	ad2	PRE	MORPH=empty	2	ad
Secundam	secundus2	ADJord	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos	1	Secundam
.	.	PUNC	MORPH=empty	_	--IGN.--
Illa	ille	PROdem	Case=Nom|Numb=Sing|Gend=Fem	_	Illa
ignorare	ignoro	VER	Mood=Inf|Tense=Pres|Voice=Act	_	ignorare
non	non	ADVneg	MORPH=empty	_	non
conceditur	concedo1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	1	conceditur
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut1	ADVrel	MORPH=empty	1	ut
volunt	uolo3	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	3	uolunt
.	.	PUNC	MORPH=empty	_	--IGN.--
Hæc	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Neut	1	Haec
autem	autem	CONcoo	MORPH=empty	_	autem
licet	licet1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act	1	licet
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Fem	1	quae
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
Secundæ	secundus2	ADJord	Case=Nom|Numb=Plur|Gend=Fem|Deg=Pos	2	Secundae
tabulæ	tabula	NOMcom	Case=Nom|Numb=Plur	_	tabulae
.	.	PUNC	MORPH=empty	_	--IGN.--
Res	res	NOMcom	Case=Nom|Numb=Sing	_	Res
.	.	PUNC	MORPH=empty	_	--IGN.--
Ignorantia	ignorantia	NOMcom	Case=Nom|Numb=Sing	_	Ignorantia
excusat	excuso	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	excusat
non	non	ADVneg	MORPH=empty	_	non
à	ab	PRE	MORPH=empty	_	a
toto	totum	NOMcom	Case=Abl|Numb=Sing	_	toto
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
à	ab	PRE	MORPH=empty	_	a
tanto	tantus	PROdem	Case=Abl|Numb=Sing	_	tanto
Rom	rom	NOMpro	Case=Acc|Numb=Sing	_	Rom
.	.	PUNC	MORPH=empty	_	--IGN.--
2	2	ADJcar	MORPH=empty	_	2
.	.	PUNC	MORPH=empty	_	--IGN.--
vers	uers	NOMcom	Case=Nom|Numb=Sing	_	uers
.	.	PUNC	MORPH=empty	_	--IGN.--
12	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
Nam	nam	CONcoo	MORPH=empty	_	Nam
si	si2	CONsub	MORPH=empty	2	si
cæcus	caecus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos	_	caecus
cæcum	caecus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos	_	caecum
duxerit	duco	VER	Numb=Sing|Mood=Ind|Tense=FutAnt|Voice=Act|Person=3	_	duxerit
ambo	ambo2	ADJcar	Case=Nom|Numb=Plur|Gend=Masc	2	ambo
